gene_id	gene_description	pathway	module	subheader	topic_ecosystem
K00406	cytochrome c oxidase cbb3-type subunit III		Redox	Oxygen	gut
K00374	narI, nitrate reductase, gamma subunit [EC:1.7.99.-] [RN:R00798]	nitrate → nitrite	Redox	Oxygen	gut
K02567	periplasmic nitrate reductase NapA [EC:1.7.99.-] [RN:R00798]	nitrate → nitrite	Redox	Oxygen	gut
K02568	cytochrome c-type protein NapB [RN:R00798]	nitrate → nitrite	Redox	Oxygen	gut
EC:1.9.6.1	nitrite reductase (cytochrome; ammonia-forming) [EC:1.9.6.1]		Redox	Oxygen	gut
NarG			Redox	Oxygen	gut
K00370	narG, nitrate reductase, alpha subunit [EC:1.7.99.-] [RN:R00798]	nitrate → nitrite	Redox	Nitrogen reduction	gut
K00371	narH, nitrate reductase, beta subunit [EC:1.7.99.-] [RN:R00798]	nitrate → nitrite	Redox	Nitrogen reduction	gut
K00362	nrfA, cytochrome c nitrite reductase large subunit [EC:1.7.2.2]	Dissimilatory nitrate reduction = nitrite → ammonia (via Nrf complex)	Redox	Nitrogen reduction	gut
K00363	nrfH, cytochrome c nitrite reductase small subunit	Dissimilatory nitrate reduction = nitrite → ammonia (via Nrf complex)	Redox	Nitrogen reduction	gut
K03385	nirB, nitrite reductase (NADH) large subunit [EC:1.7.1.15]	Dissimilatory nitrate reduction = nitrite → ammonia (via NirBD complex)	Redox	Nitrogen reduction	gut
K15876	nirD, nitrite reductase (NADH) small subunit [EC:1.7.1.15]	Dissimilatory nitrate reduction = nitrite → ammonia (via NirBD complex)	Redox	Nitrogen reduction	gut
HMM@NarG			Redox	Nitrogen reduction	gut
K00368	nitrite reductase (NO-forming) [EC:1.7.2.1] [RN:R00783 R00785]	nitrite → nitric oxide	Redox	Nitrogen reduction	gut
K15864	nitrite reductase (NO-forming) [EC:1.7.2.1] [RN:R00783 R00785]	nitrite → nitric oxide	Redox	Nitrogen reduction	gut
K04561	nitric oxide reductase subunit B [EC:1.7.2.5]		Redox	Nitrogen reduction	gut
K15877	fungal nitric oxide reductase [EC:1.7.1.14]		Redox	Nitrogen reduction	gut
K00376	nitrous-oxide reductase [EC:1.7.2.4]		Redox	Nitrogen reduction	gut
K00394	aprA; adenylylsulfate reductase subunit alpha	Dissimilatory sulfate reduction; inorganic sulfur respiration	Redox	Sulfate reduction	gut
K00395	aprB; adenylylsulfate reductase subunit beta	Dissimilatory sulfate reduction; inorganic sulfur respiration	Redox	Sulfate reduction	gut
HMM@dsrA			Redox	Sulfate reduction	gut
HMM@dsrB			Redox	Sulfate reduction	gut
K08359	tetrathionate reductase subunit C		Redox	Tetrathionate	gut
K08358	tetrathionate reductase subunit B		Redox	Tetrathionate	gut
K08357	tetrathionate reductase subunit A		Redox	Tetrathionate	gut
K00239	succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]		Redox	Fumarate respiration	gut
K00240	succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]		Redox	Fumarate respiration	gut
K00241	succinate dehydrogenase cytochrome b subunit		Redox	Fumarate respiration	gut
K00242	succinate dehydrogenase membrane anchor subunit		Redox	Fumarate respiration	gut
K03532	trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorC		Redox	TMAO Reduction	gut
K07811	trimethylamine-N-oxide reductase (cytochrome c) [EC:1.7.2.3]		Redox	TMAO Reduction	gut
K03533	TorA specific chaperone		Redox	TMAO Reduction	gut
K07821	trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorY		Redox	TMAO Reduction	gut
K03782	catalase-peroxidase [EC:1.11.1.21]		Colonization & Persistence	Stress tolerance	gut
K04564	superoxide dismutase, Fe-Mn family [EC:1.15.1.1]		Colonization & Persistence	Stress tolerance	gut
K04565	superoxide dismutase, Cu-Zn family [EC:1.15.1.1]		Colonization & Persistence	Stress tolerance	gut
K01920	glutathione synthase [EC:6.3.2.3]		Colonization & Persistence	Stress tolerance	gut
K01921	D-alanine-D-alanine ligase [EC:6.3.2.4]		Colonization & Persistence	Stress tolerance	gut
K05910	NADH peroxidase [EC:1.11.1.1]		Colonization & Persistence	Stress tolerance	gut
K00697	trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]		Colonization & Persistence	Stress tolerance	gut
K01087	trehalose 6-phosphate phosphatase [EC:3.1.3.12]		Colonization & Persistence	Stress tolerance	gut
K01236	maltooligosyltrehalose trehalohydrolase [EC:3.2.1.141]		Colonization & Persistence	Stress tolerance	gut
K06044	(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase [EC:5.4.99.15]		Colonization & Persistence	Stress tolerance	gut
K05342	alpha,alpha-trehalose phosphorylase [EC:2.4.1.64]		Colonization & Persistence	Stress tolerance	gut
K05343	maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1]		Colonization & Persistence	Stress tolerance	gut
K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]		Colonization & Persistence	Stress tolerance	gut
K05947	mannosyl-3-phosphoglycerate synthase [EC:2.4.1.217]		Colonization & Persistence	Stress tolerance	gut
K00147	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]		Colonization & Persistence	Stress tolerance	gut
K00931	glutamate 5-kinase [EC:2.7.2.11]		Colonization & Persistence	Stress tolerance	gut
K00286	pyrroline-5-carboxylate reductase [EC:1.5.1.2]		Colonization & Persistence	Stress tolerance	gut
K00006	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]		Colonization & Persistence	Stress tolerance	gut
K00111	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]		Colonization & Persistence	Stress tolerance	gut
K04043	molecular chaperone DnaK		Colonization & Persistence	Stress tolerance	gut
K03686	molecular chaperone DnaJ		Colonization & Persistence	Stress tolerance	gut
K04079	molecular chaperone HtpG		Colonization & Persistence	Stress tolerance	gut
K03705	heat-inducible transcriptional repressor		Colonization & Persistence	Stress tolerance	gut
K13640	MerR family transcriptional regulator, heat shock protein HspR		Colonization & Persistence	Stress tolerance	gut
K03053	DNA-directed RNA polymerase subunit H [EC:2.7.7.6]		Colonization & Persistence	Stress tolerance	gut
K03048	DNA-directed RNA polymerase subunit delta		Colonization & Persistence	Stress tolerance	gut
K01419	ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]		Colonization & Persistence	Stress tolerance	gut
K04080	molecular chaperone IbpA		Colonization & Persistence	Stress tolerance	gut
K04081	molecular chaperone IbpB		Colonization & Persistence	Stress tolerance	gut
K03695	ATP-dependent Clp protease ATP-binding subunit ClpB		Colonization & Persistence	Stress tolerance	gut
K03687	molecular chaperone GrpE		Colonization & Persistence	Stress tolerance	gut
K10257	acyl-lipid omega-3 desaturase [EC:1.14.19.25 1.14.19.35 1.14.19.36]		Colonization & Persistence	Stress tolerance	gut
K03704	cold shock protein		Colonization & Persistence	Stress tolerance	gut
K02834	ribosome-binding factor A		Colonization & Persistence	Stress tolerance	gut
K05592	ATP-dependent RNA helicase DeaD [EC:5.6.2.7]		Colonization & Persistence	Stress tolerance	gut
K00108	choline dehydrogenase [EC:1.1.99.1]		Colonization & Persistence	Stress tolerance	gut
K00130	betaine-aldehyde dehydrogenase [EC:1.2.1.8]		Colonization & Persistence	Stress tolerance	gut
K11440	choline dehydrogenase [EC:1.1.1.1]		Colonization & Persistence	Stress tolerance	gut
K18896	glycine/sarcosine N-methyltransferase [EC:2.1.1.156]		Colonization & Persistence	Stress tolerance	gut
K18897	sarcosine/dimethylglycine N-methyltransferase [EC:2.1.1.157]		Colonization & Persistence	Stress tolerance	gut
K02851	wecA tagO rfe; UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]	EPS production	Colonization & Persistence	EPS Production	gut
K02852	wecG rffM; UDP-N-acetyl-D-mannosaminouronate:lipid I N-acetyl-D-mannosaminouronosyltransferase [EC:2.4.1.180]	EPS production	Colonization & Persistence	EPS Production	gut
K03208	wcaI; putative colanic acid biosynthesis glycosyltransferase WcaI	EPS production	Colonization & Persistence	EPS Production	gut
K03606	wcaJ; undecaprenyl-phosphate glucose phosphotransferase [EC:2.7.8.31]	EPS production	Colonization & Persistence	EPS Production	gut
K03818	wcaF; putative colanic acid biosynthesis acetyltransferase WcaF [EC:2.3.1.-]	EPS production	Colonization & Persistence	EPS Production	gut
K03819	wcaB; putative colanic acid biosynthesis acetyltransferase WcaB [EC:2.3.1.-]	EPS production	Colonization & Persistence	EPS Production	gut
K11936	pgaC icaA; poly-beta-16-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]	EPS production	Colonization & Persistence	EPS Production	gut
K11937	pgaD; biofilm PGA synthesis protein PgaD	EPS production	Colonization & Persistence	EPS Production	gut
K12582	wecF rffT; dTDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase [EC:2.4.1.325]	EPS production	Colonization & Persistence	EPS Production	gut
K13683	wcaE; putative colanic acid biosynthesis glycosyltransferase WcaE [EC:2.4.-.-]	EPS production	Colonization & Persistence	EPS Production	gut
K13684	wcaC; putative colanic acid biosynthesis glycosyltransferase WcaC [EC:2.4.-.-]	EPS production	Colonization & Persistence	EPS Production	gut
K16555	exoO; succinoglycan biosynthesis protein ExoO [EC:2.4.-.-]	EPS production	Colonization & Persistence	EPS Production	gut
K16556	exoM; succinoglycan biosynthesis protein ExoM [EC:2.4.-.-]	EPS production	Colonization & Persistence	EPS Production	gut
K16557	exoA; succinoglycan biosynthesis protein ExoA [EC:2.4.-.-]	EPS production	Colonization & Persistence	EPS Production	gut
K16558	exoL; succinoglycan biosynthesis protein ExoL [EC:2.-.-.-]	EPS production	Colonization & Persistence	EPS Production	gut
K16560	exoH; succinoglycan biosynthesis protein ExoH	EPS production	Colonization & Persistence	EPS Production	gut
K16562	exoW; succinoglycan biosynthesis protein ExoW [EC:2.4.-.-]	EPS production	Colonization & Persistence	EPS Production	gut
K16563	exoV; succinoglycan biosynthesis protein ExoV	EPS production	Colonization & Persistence	EPS Production	gut
K16564	exoU; succinoglycan biosynthesis protein ExoU [EC:2.4.-.-]	EPS production	Colonization & Persistence	EPS Production	gut
K16566	exoY; exopolysaccharide production protein ExoY	EPS production	Colonization & Persistence	EPS Production	gut
K16568	exoZ; exopolysaccharide production protein ExoZ	EPS production	Colonization & Persistence	EPS Production	gut
K16703	wcaL amsK cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK [EC:2.4.-.-]	EPS production	Colonization & Persistence	EPS Production	gut
K16707	amsG cpsA; UDP-galactose-lipid carrier transferase	EPS production	Colonization & Persistence	EPS Production	gut
K16710	wcaK amsJ; colanic acid/amylovoran biosynthesis protein WcaK/AmsJ	EPS production	Colonization & Persistence	EPS Production	gut
K19290	alg8; mannuronan synthase [EC:2.4.1.33]	EPS production	Colonization & Persistence	EPS Production	gut
K19291	alg44; mannuronan synthase [EC:2.4.1.33]	EPS production	Colonization & Persistence	EPS Production	gut
K19293	algX; alginate biosynthesis protein AlgX	EPS production	Colonization & Persistence	EPS Production	gut
K19294	algI; alginate O-acetyltransferase complex protein AlgI	EPS production	Colonization & Persistence	EPS Production	gut
K19295	algJ; alginate O-acetyltransferase complex protein AlgJ	EPS production	Colonization & Persistence	EPS Production	gut
K19296	algF; alginate O-acetyltransferase complex protein AlgF	EPS production	Colonization & Persistence	EPS Production	gut
K20921	vpsD epsF; polysaccharide biosynthesis protein VpsD	EPS production	Colonization & Persistence	EPS Production	gut
K20922	vpsI; polysaccharide biosynthesis protein VpsI	EPS production	Colonization & Persistence	EPS Production	gut
K20997	pslA; polysaccharide biosynthesis protein PslA	EPS production	Colonization & Persistence	EPS Production	gut
K20999	pslF; polysaccharide biosynthesis protein PslF	EPS production	Colonization & Persistence	EPS Production	gut
K21001	pslH; polysaccharide biosynthesis protein PslH	EPS production	Colonization & Persistence	EPS Production	gut
K21002	pslI; polysaccharide biosynthesis protein PslI	EPS production	Colonization & Persistence	EPS Production	gut
K21154	pssM; exopolysaccharide glucosyl ketal-pyruvate-transferase [EC:2.5.1.98]	EPS production	Colonization & Persistence	EPS Production	gut
K21461	icaD; poly-beta-16-N-acetyl-D-glucosamine synthesis protein	EPS production	Colonization & Persistence	EPS Production	gut
K25205	pslC; polysaccharide biosynthesis protein PslC	EPS production	Colonization & Persistence	EPS Production	gut
K25875	wcaA; putative colanic acid biosynthesis glycosyltransferase WcaA	EPS production	Colonization & Persistence	EPS Production	gut
K25886	vpsK; polysaccharide biosynthesis protein VpsK	EPS production	Colonization & Persistence	EPS Production	gut
K25902	pssA; acidic exopolysaccharide biosynthesis protein PssA	EPS production	Colonization & Persistence	EPS Production	gut
K25903	pssD; exopolysaccharide biosynthesis glucuronosyltransferase PssD	EPS production	Colonization & Persistence	EPS Production	gut
K25904	pssE; exopolysaccharide biosynthesis glucuronosyltransferase PssE	EPS production	Colonization & Persistence	EPS Production	gut
K25905	pssC; exopolysaccharide biosynthesis glycosyltransferase PssC	EPS production	Colonization & Persistence	EPS Production	gut
K25906	pssS; exopolysaccharide biosynthesis glucosyltransferase PssS	EPS production	Colonization & Persistence	EPS Production	gut
K25907	pssF; exopolysaccharide biosynthesis glycosyltransferase PssF	EPS production	Colonization & Persistence	EPS Production	gut
K25908	pssI; exopolysaccharide biosynthesis glycosyltransferase PssI	EPS production	Colonization & Persistence	EPS Production	gut
K25909	pssG; exopolysaccharide biosynthesis glycosyltransferase PssG	EPS production	Colonization & Persistence	EPS Production	gut
K25910	pssH; exopolysaccharide biosynthesis glycosyltransferase PssH	EPS production	Colonization & Persistence	EPS Production	gut
K25911	pssJ; exopolysaccharide biosynthesis galactosyltransferase PssJ	EPS production	Colonization & Persistence	EPS Production	gut
K25912	pssR; exopolysaccharide acyltransferase PssR	EPS production	Colonization & Persistence	EPS Production	gut
K25913	pssK; exopolysaccharide biosynthesis protein PssK	EPS production	Colonization & Persistence	EPS Production	gut
K13060	lasI; acyl homoserine lactone synthase [EC:2.3.1.184]	quorum sensing	Colonization & Persistence	Quorum Sensing	gut
K13061	rhlI; acyl homoserine lactone synthase [EC:2.3.1.184]	quorum sensing	Colonization & Persistence	Quorum Sensing	gut
K18304	lasR; LuxR family transcriptional regulator LasR	quorum sensing	Colonization & Persistence	Quorum Sensing	gut
K18099	rhlR; LuxR family transcriptional regulator RhlR	quorum sensing	Colonization & Persistence	Quorum Sensing	gut
K07173	luxS; S-ribosylhomocysteine lyase [EC:4.4.1.21]	quorum sensing	Colonization & Persistence	Quorum Sensing	gut
K10555	lsrB; AI-2 transport system substrate-binding protein	quorum sensing	Colonization & Persistence	Quorum Sensing	gut
K10556	lsrC; AI-2 transport system permease protein	quorum sensing	Colonization & Persistence	Quorum Sensing	gut
K10557	lsrD; AI-2 transport system permease protein	quorum sensing	Colonization & Persistence	Quorum Sensing	gut
K10558	lsrA; AI-2 transport system ATP-binding protein	quorum sensing	Colonization & Persistence	Quorum Sensing	gut
K02410	flagellar motor switch protein FliG		Colonization & Persistence	Motility	gut
K02411	flagellar assembly protein FliH		Colonization & Persistence	Motility	gut
K02406	flagellin		Colonization & Persistence	Motility	gut
K02407	flagellar hook-associated protein 2		Colonization & Persistence	Motility	gut
K02400	flagellar biosynthesis protein FlhA		Colonization & Persistence	Motility	gut
K02408	flagellar hook-basal body complex protein FliE		Colonization & Persistence	Motility	gut
K02409	flagellar M-ring protein FliF		Colonization & Persistence	Motility	gut
K02412	flagellum-specific ATP synthase [EC:7.4.2.8]		Colonization & Persistence	Motility	gut
K02416	flagellar motor switch protein FliM		Colonization & Persistence	Motility	gut
K02417	flagellar motor switch protein FliN		Colonization & Persistence	Motility	gut
K02386	flagellar basal body P-ring formation protein FlgA		Colonization & Persistence	Motility	gut
K02387	flagellar basal-body rod protein FlgB		Colonization & Persistence	Motility	gut
K02391	flagellar basal-body rod protein FlgF		Colonization & Persistence	Motility	gut
K02393	flagellar L-ring protein FlgH		Colonization & Persistence	Motility	gut
K02404	flagellar biosynthesis protein FlhF		Colonization & Persistence	Motility	gut
K02405	RNA polymerase sigma factor FliA		Colonization & Persistence	Motility	gut
K01442	choloylglycine hydrolase [EC:3.5.1.24]		Host Interaction	Bile acid metabolism	gut
K15868	bile acid-coenzyme A ligase [EC:6.2.1.7]		Host Interaction	Bile acid metabolism	gut
K15869	3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase [EC:1.1.1.395]		Host Interaction	Bile acid metabolism	gut
K15872	bile-acid 7alpha-dehydratase [EC:4.2.1.106]		Host Interaction	Bile acid metabolism	gut
K00076	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]		Host Interaction	Bile acid metabolism	gut
K22604	3alpha-hydroxycholanate dehydrogenase (NAD+) [EC:1.1.1.52]		Host Interaction	Bile acid metabolism	gut
K22605	3alpha-hydroxycholanate dehydrogenase (NADP+) [EC:1.1.1.392]		Host Interaction	Bile acid metabolism	gut
K22606	3beta-hydroxycholanate 3-dehydrogenase (NAD+) [EC:1.1.1.391]		Host Interaction	Bile acid metabolism	gut
K22607	3beta-hydroxycholanate 3-dehydrogenase (NADP+) [EC:1.1.1.393]		Host Interaction	Bile acid metabolism	gut
K23231	7beta-hydroxysteroid dehydrogenase (NADP+) [EC:1.1.1.201]		Host Interaction	Bile acid metabolism	gut
K02552	menaquinone-specific isochorismate synthase [EC:5.4.4.2]		Host Interaction	Vitamin biosynthesis	gut
K02551	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]		Host Interaction	Vitamin biosynthesis	gut
K02549	o-succinylbenzoate synthase [EC:4.2.1.113]		Host Interaction	Vitamin biosynthesis	gut
K01661	naphthoate synthase [EC:4.1.3.36]		Host Interaction	Vitamin biosynthesis	gut
K01911	o-succinylbenzoate---CoA ligase [EC:6.2.1.26]		Host Interaction	Vitamin biosynthesis	gut
K02548	1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]		Host Interaction	Vitamin biosynthesis	gut
K00796	dihydropteroate synthase [EC:2.5.1.15]		Host Interaction	Vitamin biosynthesis	gut
K00287	dihydrofolate reductase [EC:1.5.1.3]		Host Interaction	Vitamin biosynthesis	gut
K03147	phosphomethylpyrimidine synthase [EC:4.1.99.17]		Host Interaction	Vitamin biosynthesis	gut
K00788	thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]		Host Interaction	Vitamin biosynthesis	gut
K01012	biotin synthase [EC:2.8.1.6]		Host Interaction	Vitamin biosynthesis	gut
K03517	quinolinate synthase [EC:2.5.1.72]		Host Interaction	Vitamin biosynthesis	gut
K00278	L-aspartate oxidase [EC:1.4.3.16]		Host Interaction	Vitamin biosynthesis	gut
K00767	nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]		Host Interaction	Vitamin biosynthesis	gut
K00798	cob(I)alamin adenosyltransferase [EC:2.5.1.17]		Host Interaction	Vitamin biosynthesis	gut
K19221	cob(I)alamin adenosyltransferase [EC:2.5.1.17]		Host Interaction	Vitamin biosynthesis	gut
K02232	adenosylcobyric acid synthase [EC:6.3.5.10]		Host Interaction	Vitamin biosynthesis	gut
K02225	cobalamin biosynthesis protein CobC		Host Interaction	Vitamin biosynthesis	gut
K02227	adenosylcobinamide-phosphate synthase [EC:6.3.1.10]		Host Interaction	Vitamin biosynthesis	gut
K02231	adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]		Host Interaction	Vitamin biosynthesis	gut
K00768	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]		Host Interaction	Vitamin biosynthesis	gut
K02226	alpha-ribazole phosphatase [EC:3.1.3.73]		Host Interaction	Vitamin biosynthesis	gut
K22316	ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73]		Host Interaction	Vitamin biosynthesis	gut
K02233	adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]		Host Interaction	Vitamin biosynthesis	gut
K00826	branched-chain amino acid aminotransferase [EC:2.6.1.42]		Host Interaction	Vitamin biosynthesis	gut
K00606	3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]		Host Interaction	Vitamin biosynthesis	gut
K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169]		Host Interaction	Vitamin biosynthesis	gut
K01579	aspartate 1-decarboxylase [EC:4.1.1.11]		Host Interaction	Vitamin biosynthesis	gut
K01918	pantoate--beta-alanine ligase [EC:6.3.2.1]		Host Interaction	Vitamin biosynthesis	gut
K13799	pantoate ligase / CMP/dCMP kinase [EC:6.3.2.1 2.7.4.25]		Host Interaction	Vitamin biosynthesis	gut
K13367	polyamine oxidase [EC:1.5.3.17]		Host Interaction	Vitamin biosynthesis	gut
K03472	D-erythrose 4-phosphate dehydrogenase [EC:1.2.1.72]		Host Interaction	Vitamin biosynthesis	gut
K03473	erythronate-4-phosphate dehydrogenase [EC:1.1.1.290]		Host Interaction	Vitamin biosynthesis	gut
K00831	phosphoserine aminotransferase [EC:2.6.1.52]		Host Interaction	Vitamin biosynthesis	gut
K00097	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]		Host Interaction	Vitamin biosynthesis	gut
K03474	pyridoxine 5-phosphate synthase [EC:2.6.99.2]		Host Interaction	Vitamin biosynthesis	gut
K00275	pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]		Host Interaction	Vitamin biosynthesis	gut
K01497	GTP cyclohydrolase II [EC:3.5.4.25]		Host Interaction	Vitamin biosynthesis	gut
K14652	3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]		Host Interaction	Vitamin biosynthesis	gut
K01498	diaminohydroxyphosphoribosylaminopyrimidine deaminase [EC:3.5.4.26]		Host Interaction	Vitamin biosynthesis	gut
K00082	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]		Host Interaction	Vitamin biosynthesis	gut
K11752	diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]		Host Interaction	Vitamin biosynthesis	gut
K22912	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]		Host Interaction	Vitamin biosynthesis	gut
K20860	FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]		Host Interaction	Vitamin biosynthesis	gut
K20861	FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]		Host Interaction	Vitamin biosynthesis	gut
K20862	FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]		Host Interaction	Vitamin biosynthesis	gut
K21063	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]		Host Interaction	Vitamin biosynthesis	gut
K21064	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]		Host Interaction	Vitamin biosynthesis	gut
K02858	3,4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12]		Host Interaction	Vitamin biosynthesis	gut
K00794	6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]		Host Interaction	Vitamin biosynthesis	gut
K00793	riboflavin synthase [EC:2.5.1.9]		Host Interaction	Vitamin biosynthesis	gut
K20884	riboflavin kinase / FMN hydrolase [EC:2.7.1.26 3.1.3.102]		Host Interaction	Vitamin biosynthesis	gut
K22949	FAD synthetase [EC:2.7.7.2]		Host Interaction	Vitamin biosynthesis	gut
K11753	riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]		Host Interaction	Vitamin biosynthesis	gut
K20038	choline trimethylamine-lyase [EC:4.3.99.4]		Host Interaction	TMA production	gut
K20037	choline trimethylamine-lyase activating enzyme [EC:1.97.1.-]		Host Interaction	TMA production	gut
K22443	carnitine monooxygenase subunit [EC:1.14.13.239]		Host Interaction	TMA production	gut
K21579	betaine reductase complex component B subunit beta [EC:1.21.4.4]		Host Interaction	TMA production	gut
K14083	trimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.250]		Host Interaction	TMA demethylation	gut
K25600	L-carnitine---corrinoid protein Co-methyltransferase [EC:2.1.1.383]		Host Interaction	TMA demethylation	gut
EC:2.1.1.389	trimethylamine methyltransferase [EC:2.1.1.389]		Host Interaction	TMA demethylation	gut
K18698	beta-lactamase class A TEM [EC:3.5.2.6]		Host Interaction	Antibiotic Resistance	gut
K18699	beta-lactamase class A SHV [EC:3.5.2.6]		Host Interaction	Antibiotic Resistance	gut
K18796	beta-lactamase class A LEN [EC:3.5.2.6]		Host Interaction	Antibiotic Resistance	gut
K18767	beta-lactamase class A CTX-M [EC:3.5.2.6]		Host Interaction	Antibiotic Resistance	gut
K18795	beta-lactamase class A CARB-1, PSE family [EC:3.5.2.6]		Host Interaction	Antibiotic Resistance	gut
K19218	beta-lactamase class A CARB-5, RTG family [EC:3.5.2.6]		Host Interaction	Antibiotic Resistance	gut
K19217	beta-lactamase class A CARB-17 [EC:3.5.2.6]		Host Interaction	Antibiotic Resistance	gut
K00561	23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]		Host Interaction	Antibiotic Resistance	gut
K14336	23S rRNA (guanine748-N1)-methyltransferase [EC:2.1.1.188]		Host Interaction	Antibiotic Resistance	gut
K15632	23S rRNA (adenine-C8)-methyltransferase [EC:2.1.1.224]		Host Interaction	Antibiotic Resistance	gut
K18230	macrolide transport system ATP-binding/permease protein		Host Interaction	Antibiotic Resistance	gut
K18231	macrolide transport system ATP-binding/permease protein		Host Interaction	Antibiotic Resistance	gut
K19349	pleuromutilin/lincosamide/streptogramin A transport system ATP-binding/permease protein		Host Interaction	Antibiotic Resistance	gut
K19350	lincosamide and streptogramin A transport system ATP-binding/permease protein		Host Interaction	Antibiotic Resistance	gut
K18232	oleandomycin transport system ATP-binding protein		Host Interaction	Antibiotic Resistance	gut
K19541	MFS transporter, DHA2 family, lincomycin resistance protein		Host Interaction	Antibiotic Resistance	gut
K08217	MFS transporter, DHA3 family, macrolide efflux protein		Host Interaction	Antibiotic Resistance	gut
K08151	MFS transporter, DHA1 family, tetracycline resistance protein		Host Interaction	Antibiotic Resistance	gut
K08168	MFS transporter, DHA2 family, metal-tetracycline-proton antiporter		Host Interaction	Antibiotic Resistance	gut
K18214	MFS transporter, DHA3 family, tetracycline resistance protein		Host Interaction	Antibiotic Resistance	gut
K18215	MFS transporter, DHA3 family, tetracycline resistance protein		Host Interaction	Antibiotic Resistance	gut
K18218	tetracycline resistance efflux pump		Host Interaction	Antibiotic Resistance	gut
K18216	ATP-binding cassette, subfamily B, tetracycline resistant protein		Host Interaction	Antibiotic Resistance	gut
K18217	ATP-binding cassette, subfamily B, tetracycline resistant protein		Host Interaction	Antibiotic Resistance	gut
K19542	MFS transporter, DHA2 family, tetracycline/oxytetracycline resistance protein		Host Interaction	Antibiotic Resistance	gut
K18233	oleandomycin transport system permease protein		Host Interaction	Antibiotic Resistance	gut
K18220	ribosomal protection tetracycline resistance protein		Host Interaction	Antibiotic Resistance	gut
K18221	tetracycline 11a-monooxygenase, tetracycline resistance protein [EC:1.14.13.231]		Host Interaction	Antibiotic Resistance	gut
K18974	dihydropteroate synthase type 1 [EC:2.5.1.15]		Host Interaction	Antibiotic Resistance	gut
K18824	dihydropteroate synthase type 2 [EC:2.5.1.15]		Host Interaction	Antibiotic Resistance	gut
K18825	dihydropteroate synthase type 3 [EC:2.5.1.15]		Host Interaction	Antibiotic Resistance	gut
